CVE ID,Severity,Score,Image+Version,Distro,Package Name,Title,URL,Installed Version,Fixed Version,Description,Published Date,PURL
CVE-2026-0964,unknown,,20260313,noble,libssh-4,,https://ubuntu.com/security/CVE-2026-0964,0.10.6-2ubuntu0.3,0.10.6-2ubuntu0.4,,,pkg:deb/ubuntu/libssh-4@0.10.6-2ubuntu0.3?distro=noble
CVE-2026-0965,unknown,,20260313,noble,libssh-4,,https://ubuntu.com/security/CVE-2026-0965,0.10.6-2ubuntu0.3,0.10.6-2ubuntu0.4,,,pkg:deb/ubuntu/libssh-4@0.10.6-2ubuntu0.3?distro=noble
CVE-2026-0966,unknown,,20260313,noble,libssh-4,,https://ubuntu.com/security/CVE-2026-0966,0.10.6-2ubuntu0.3,0.10.6-2ubuntu0.4,,,pkg:deb/ubuntu/libssh-4@0.10.6-2ubuntu0.3?distro=noble
CVE-2026-0967,unknown,,20260313,noble,libssh-4,,https://ubuntu.com/security/CVE-2026-0967,0.10.6-2ubuntu0.3,0.10.6-2ubuntu0.4,,,pkg:deb/ubuntu/libssh-4@0.10.6-2ubuntu0.3?distro=noble
CVE-2026-0968,unknown,,20260313,noble,libssh-4,,https://ubuntu.com/security/CVE-2026-0968,0.10.6-2ubuntu0.3,0.10.6-2ubuntu0.4,,,pkg:deb/ubuntu/libssh-4@0.10.6-2ubuntu0.3?distro=noble
CVE-2026-23079,unknown,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23079,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23111,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23112,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23231,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23268,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23410,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-headers-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23411,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-headers-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23079,unknown,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23079,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23111,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23112,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23231,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23268,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23410,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-hwe-6.17-headers-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23411,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-hwe-6.17-headers-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23079,unknown,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23079,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23111,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23112,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23231,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23268,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23410,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-hwe-6.17-tools-6.17.0-19,,https://ubuntu.com/security/CVE-2026-23411,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-hwe-6.17-tools-6.17.0-19@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23079,unknown,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23079,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23111,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23112,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23231,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23268,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23410,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-modules-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23411,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-modules-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23079,unknown,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23079,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23111,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23112,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23231,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23268,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23410,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-modules-extra-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23411,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-modules-extra-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23079,unknown,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23079,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23111,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23112,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23231,6.17.0-19.19~24.04.2,pending,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23268,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23410,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-tools-6.17.0-19-generic,,https://ubuntu.com/security/CVE-2026-23411,6.17.0-19.19~24.04.2,6.17.0-20.20~24.04.1,,,pkg:deb/ubuntu/linux-tools-6.17.0-19-generic@6.17.0-19.19~24.04.2?distro=noble
CVE-2026-23111,high,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23111,6.8.0-106.106,pending,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-23112,high,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23112,6.8.0-106.106,pending,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-23231,high,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23231,6.8.0-106.106,pending,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-23268,high,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23268,6.8.0-106.106,6.8.0-107.107,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-23273,unknown,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23273,6.8.0-106.106,pending,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-23410,high,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23410,6.8.0-106.106,6.8.0-107.107,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-23411,high,,20260313,noble,linux-tools-common,,https://ubuntu.com/security/CVE-2026-23411,6.8.0-106.106,6.8.0-107.107,,,pkg:deb/ubuntu/linux-tools-common@6.8.0-106.106?distro=noble
CVE-2026-25749,unknown,,20260313,noble,xxd,,https://ubuntu.com/security/CVE-2026-25749,2:9.1.0016-1ubuntu7.9,2:9.1.0016-1ubuntu7.10,,,pkg:deb/ubuntu/xxd@2:9.1.0016-1ubuntu7.9?distro=noble
